product_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,average_review_rating,product_information,product_description,customer_reviews,subcategory_1,subcategory_2,subcategory_3,subcategory_4,category
e71fc561fa3b9bdb72a6f1ebdd77eec7,Moon Sand Refill Red,Spin Master,3.99,,2,5.0,"Technical Details Manufacturer recommended age:3 years and up Manufacturer reference20022698    Additional Information ASINB0043910I0 Best Sellers Rank 415,674 in Toys & Games (See top 100) #504 in Toys & Games > Arts & Crafts > Art Sand Shipping Weight349 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available16 Sept. 2010    Feedback  Would you like to update product info or give feedback on images?",,"Five Stars // 5.0 // 13 May 2015 // By
    
    Mrs A.L. Smith
  
 on 13 May 2015 // Good fun for the garden | Five Stars // 5.0 // 30 July 2014 // By
    
    Miss Naomi Rios
  
 on 30 July 2014 // Great refill",Art Sand,,,,Arts & Crafts
7ada7be46437463f90d04dcbfec57af1,Wacky-tivities Kinetic Sand 14 oz Neon Purple,Kinetic Sand,11.10,5.0,1,4.0,"Technical Details Item Weight522 g Product Dimensions5.1 x 21.6 x 21.6 cm Manufacturer recommended age:3 years and up Item model number20067304 Main Language(s)English Batteries Required?No    Additional Information ASINB00IGLR1UC Best Sellers Rank 201,545 in Toys & Games (See top 100) #276 in Toys & Games > Arts & Crafts > Art Sand Shipping Weight522 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available5 Nov. 2014    Feedback  Would you like to update product info or give feedback on images?","Its more fun when its Wacky! Kinetic Sand is the squeezable sand where you can FEEL the fun! Youve seen it before, but youve never felt anything like it! Pack it, pull it, shape it and love it, Kinetic Sand is so incredible you cant put it down. Its kinetic ? meaning it sticks to itself and not to you! It oozes, moves and melts right before your eyes. It flows through your fingers like a slow-moving liquid, but leaves them completely dry. Kinetic Sand stimulates childrens creative skills allowing them to create anything they can imagine over and over again. Kinetic Sand never dries out and is gluten free. This soft and stretchy sand easily cleans up while delivering non-stop fun! Its squeezable sand you cant put down. Feel the difference with Kinetic Sand!","Four Stars // 4.0 // 5 Jan. 2016 // By
    
    sasha
  
 on 5 Jan. 2016 // Great fun for children.",Art Sand,,,,Arts & Crafts
a0799d820373cdc1f858c0bcd9bc2df0,Coloured Sand 350g of 8 Assorted Colours for Childrens Sand Art Crafts & Textured Paint Effects - Pack of 8,Baker Ross,10.99,2.0,13,4.8,"Technical Details Item Weight3 Kg Product Dimensions11.8 x 23.3 x 13 cm Manufacturer recommended age:3 years and up    Additional Information ASINB009HOVZUO Best Sellers Rank 3,075 in Toys & Games (See top 100) #13 in Toys & Games > Arts & Crafts > Art Sand Shipping Weight3 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available27 Sept. 2012   ",This product is one of our great range of own brand sand art activities and kits for children. The range available from our amazon shop includes both coloured and flourescent sand and a range of themed sand art craft kits.,"fantastic product great price.... // 5.0 // 16 Mar. 2013 // By
    
    rachel
  
 on 16 Mar. 2013 // looked around for ages for coloured sand and came across this set, which was such good value, p&p also very good. item arrived packed well, plenty of sand great quality, I would and have recommended this site and product to friends..... | Really good // 4.0 // 6 April 2014 // By
    
    Gabzb
  
 on 6 April 2014 // It's actually quite difficult to estimate how much sand there is - I know it gives you a weight on the advert but try estimating that in real terms!  I found there wasn't quite eno",Art Sand,,,,Arts & Crafts
6f3c69728c778e1ae3c1ecba89bcc8b2,5 Minutes Hourglass Sandglass Sand Timer for Cooking/Game/Exercise Timing---Yellow,Generic,1.75,3.0,4,5.0,Technical Details Manufacturer recommended age:3 years and up Item model numberA4867    Additional Information ASINB00GWF6U2Y Customer Reviews ,"Description: Ideal for timing cooking, games, exercising and so on Supports five minutes Material: Plastic Color: Yellow Size (H x D): Approx. 3.3 x 0.98 inch / 8.4 x 2.5cm The diameter is the maximum diameter. Package Includes: 1 x Sand timer Note: This is a sand timer made for games. It is not a precision timing device. Slight errors may exist.","does what it says ... // 5.0 // 10 April 2014 // By
    
    MommyBear
  
 on 10 April 2014 // It's a 5 minute timer. I really only got it because it's yellow. My son loves yellow. I use it for time out. | Great value for money // 5.0 // 1 Jan. 2016 // By
    
    SallyB
  
 on 1 Jan. 2016 // This little timer works very well. I use it when I'm listening to children at school read and keep it in my handbag. Great value for money. | bang on! // 5.0 // 2 Jun. 2014 // By
    
    The Geezer
  
TOP 1000 REVIEWER on 2 Jun. 2014 // timed this as bang on 5 minutes. Thats what i bought it for! very pl",Art Sand,,,,Arts & Crafts
4372274ef2e23c243289d433da82cddf,John Adams Sands Alive Classic Set,John Adams,12.99,21.0,20,4.7,Technical Details Model Number10241 Item Weight699 g Product Dimensions32.6 x 28 x 5.8 cm Item model number10241 Target genderUnisex Frustration-free packagingcertified frustration-free    Additional Information ASINB00ZTPISZ0 Customer Reviews ,Colour:Multi Product Description Sands Alive! Is unique sand. It is really easy to mould into any shape and is ideal for children.The sand is made out of all-natural material and does not stain. Enjoy yourself by making 3D shapes with the moulds included and let your imagination run wild! Sands Alive does not dry out! Box Contains 450g Sands AlivemouldsTray for sand,"A great first sand modelling set // 5.0 // 11 Nov. 2015 // By
    
    Raspberrygiggle
  
 on 11 Nov. 2015 // Because the sand doesn’t stain and is non-toxic, it is perfect for being able to play with indoors during the winter when you can’t get to the beach to make proper sandcastles!I did find it relatively mess free and, any mess that was made could be swept up easily though I will only let my children play with it in the dining room where there is no carpet.I liked that the set had a good sized tray included to play with the sand.  There was plenty of space in the trays to make plenty of s",Art Sand,,,,Arts & Crafts
a318d93275914a9ac14dc6bc9d68a280,Bug Sand Art Decorations 5 Assorted with Coloured Sand & Ribbon for Children to Make & Decorate(Pack of 5),Baker Ross,4.95,,5,4.8,"Technical Details Item Weight209 g Product Dimensions1.5 x 20 x 23 cm Manufacturer recommended age:3 years and up    Additional Information ASINB00702S3EQ Best Sellers Rank 86,404 in Toys & Games (See top 100) #139 in Toys & Games > Arts & Crafts > Art Sand Shipping Weight209 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available21 Jan. 2012   ",,"bug fun // 4.0 // 25 Sept. 2014 // By
    
    shopper
  
 on 25 Sept. 2014 // A good morning's fun. Well packaged, attractive and possible for a four year old to join in with. Good for learning to plan a series of actions and for dexterity. Googly eyes didn't stick, though, so only four stars. | Used these for our toddlers birthday party - kids loved it and each had a nice artsy crafty thing ... // 5.0 // 18 Oct. 2015 // By
    
    Amazon Customer
  
 on 18 Oct. 2015 // Used these for our toddlers birthday party - kids loved it and each had a nice artsy crafty thing to take home. | Fun unusu",Art Sand,,,,Arts & Crafts
5caaa843aeb9f52e1f814a655700f605,Farm Animals Sand Art Pictures (Pack of 20) (15 x 21 cm) - Sand NOT included,Craftplay,3.70,,3,4.7,"Technical Details Manufacturer recommended age:3 years and up Manufacturer referenceACP/2364/FASA    Additional Information ASINB013PK6XQQ Best Sellers Rank 31,714 in Toys & Games (See top 100) #72 in Toys & Games > Arts & Crafts > Art Sand Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available10 Aug. 2015    Feedback  Would you like to update product info or give feedback on images?","Pack of 20 peel-off sand art pictures. Sand NOT included. Peel-off individual sections and cover with coloured sand to make a sand art picture. This pack contains 4 designs: Pig, Horse, Cow & Chicken, Sheep & Dog.","Five Stars // 5.0 // 28 Jan. 2016 // By
    
    Linda H.
  
 on 28 Jan. 2016 // Look good haven't used them yet | good value // 5.0 // 10 Dec. 2015 // By
    
    Mr. M. K. Davis
  
 on 10 Dec. 2015 // Arrived promptly, good value | Four Stars // 4.0 // 5 Feb. 2016 // By
    
    janine paolozzi
  
 on 5 Feb. 2016 // My son loves them",Art Sand,,,,Arts & Crafts
04d783a29f2763c0424df0ed03586b46,Coloured Craft Sand: 8 x 350g Shaker Pots,CIL,14.97,2.0,3,4.3,Technical Details Manufacturer recommended age:3 years and up    Additional Information ASINB00MFNWGU2 Customer Reviews ,,"Good quality sand but the lids of the pots don't ... // 3.0 // 17 Jun. 2015 // By
    
    J. Tidball
  
 on 17 Jun. 2015 // Good quality sand but the lids of the pots don't close well once they've been opened for the first time. | Five Stars // 5.0 // 13 Mar. 2016 // By
    
    iBoughtThat
  
 on 13 Mar. 2016 // Excellent quality ans great value for money. Fast delivery | good craft sand // 5.0 // 2 Dec. 2014 // By
    
    tracey van beck
  
 on 2 Dec. 2014 // Fast delivery . good craft sand.",Art Sand,,,,Arts & Crafts
a56c75eca5a09df2caed437f82146cc8,"LIGHT BLUE Magic Sand 500g With 3 Castle Moulds- Sculpture, Mould and Play",Magic Sand,9.99,2.0,1,5.0,"Technical Details Item Weight558 g Product Dimensions12.5 x 12.5 x 13 cm Manufacturer recommended age:3 years and up    Additional Information ASINB00W3PJ704 Best Sellers Rank 527,164 in Toys & Games (See top 100) #603 in Toys & Games > Arts & Crafts > Art Sand Shipping Weight558 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available14 April 2015    Feedback  Would you like to update product info or give feedback on images?",Magic Sand Create your sandcastles with no mess with Magic Sand. Incredible texture to mould and sculpt. Comes complete with 3 castle moulds. Age: For ages 3 years,"Five Stars // 5.0 // 1 Feb. 2016 // By
    
    no
  
 on 1 Feb. 2016 // endless fun for the kids, not too much mess for me.",Art Sand,,,,Arts & Crafts
8ad1676c38af07f81b03e41b3a39b0fe,Magic Motion Sand 800g 1.76lb with Plastic Tray & Creative Parts box set RED,Kidoloop,16.09,,1,4.0,"Technical Details Manufacturer recommended age:4 years and up Item model numberMS-065    Additional Information ASINB00ZIZ8EK0 Best Sellers Rank 621,352 in Toys & Games (See top 100) #655 in Toys & Games > Arts & Crafts > Art Sand Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available12 Jun. 2015    Feedback  Would you like to update product info or give feedback on images?","With 800g 1.76lb of three dimensional building toy all it takes is imagination, endless hours of fun and creativity, to spark imagination the sand comes with 5 plastic tools like knives for moulding and shaping and a figure with hands, eyes and legs, (see photo). You can enjoy and be creative with no mess, the sand moves in your hands like a slow moving liquid but leaves no trace as it attaches and mould together with your sculpture","keeps child busy // 4.0 // 18 Aug. 2015 // By
    
    sugarsweet
  
 on 18 Aug. 2015 // Kept my son busy for quite sometimes. A bit messy but I guess it's meant to be. Should have had more moulds which child can use so had to purchase separate product do he could have more to play with.",Art Sand,,,,Arts & Crafts
