product_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,average_review_rating,subcategory_1,subcategory_2,subcategory_3,subcategory_4,category
a4c653055a9b0e7b5c1fa1cf68be9537,Barbie Doll House,Matell,34,13,3,3.9,Dolls,,,,Toys
68750ff6d9a5808ed0360e48d1204215,Security Fashion Hourglass 10 Minutes Sand Timer -Orange,Generic,5.21,10,8,5,Art Sand,,,,Arts & Crafts
ac200dc1631de8351b8bac4c13e91970,Coloured Ice Cream Play Sand Set For Kids - 1 Pound,Slammer,10.95,3,24,4.3,Art Sand,,,,Arts & Crafts
aa81a2e8feb8566550937e66227d1b47,Wacky-tivities Kinetic Sand 14 oz Neon Blue,Kinetic Sand,13.32,4,1,5,Art Sand,,,,Arts & Crafts
a4c653055a9b0e7b5c1fa1cf68be9537,10 Minutes Hourglass Sandglass Sand Timer Silver Lid Purple Sand,Generic,3.4,4,2,5,Art Sand,,,,Arts & Crafts
30bce49af67996a388915e9f04c34ae1,Wacky-tivities Kinetic Sand 14 oz Neon Red,Kinetic Sand,15.5,3,2,5,Art Sand,,,,Arts & Crafts
8d8b3a0a60140eec3644467e478d888c,Kinetic Sand 2lb Pack (Brown),Kinetic Sand,14.75,36,68,4.5,Art Sand,,,,Arts & Crafts
bf67ec455978d98b47d9eb4719490e35,Magic Motion Moving Sand 1kg 1000g Play Set Tub Castle Moulds,just4baby,,,1,5,Art Sand,,,,Arts & Crafts
0463a0796bee852cbd1ec4f0236ddf40,Cra-Z-Sand 1.5 lb Box Set,Cra-Z-Sand,7.99,8,5,4.2,Art Sand,,,,Arts & Crafts
6d36b969ca0cd82e709ccf12ed480781,Motion Sand® Fun Beach Playset,Motion Sand,6.99,2,34,4.9,Art Sand,,,,Arts & Crafts
8879776477df76e540c82ca36ebd8b9e,Kinetic Sand 1.5 lb Neon Playset (Purple),Kinetic Sand,,3,14,4.1,Art Sand,,,,Arts & Crafts
30bce49af67996a388915e9f04c34ae1,Security Camera Ring V2,Ring,320,22,22,4.6,Surveillance,,,,Home Security
bf67ec455978d98b47d9eb4719490e35,Security Camera Samsung R3,Ring,456,18,34,4.3,Surveillance,,,,Home Security
